Language,Q4,Q24,Q23,Q18,Q5,Q11,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20
EN,USA,Female,25-30,0,4,Trump,1,1.1,1.2,2.6,2.1,NA,NA,NA,NA,NA,NA,1.9
EN,USA,Male,51-60,0,5,Clinton,0,1,1,4.2,4.5,NA,NA,NA,NA,NA,NA,5.1
ES,Puerto Rico,Female,25-30,0,4,Did Not Vote,0,1,1,7,7,NA,NA,NA,NA,NA,NA,7
ES,Venezuela,Female,41-50,1,4,Did Not Vote,0,2.2,6.1,7,7,7,7,7,5.7,7,7,7
EN,USA,Female,25-30,0,4,Did Not Vote,1,1.3,3.2,7,2.6,NA,NA,NA,NA,NA,NA,7
ES,USA,Male,18-24,1,3,Other,0,1,5,7,6,7,7,6,2.5,5,5.5,5.5
EN,Puerto Rico,Male,25-30,1,1,Trump,0,4.7,6.1,5.4,5.9,4.5,5.7,6,5.7,5.6,5.7,5
EN,USA,Female,25-30,1,4,Clinton,0,2.3,7,4.5,7,1,2.6,1.9,4.9,7,2.5,7
EN,Cuba,Male,25-30,0,2,Clinton,0,1,2,1.5,6,NA,NA,NA,NA,NA,NA,4
EN,Puerto Rico,Female,18-24,0,1,Clinton,0,5.6,6.7,6.4,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,25-30,0,4,Clinton,0,2.2,2.3,2,2.2,NA,NA,NA,NA,NA,NA,3.5
EN,USA,Female,18-24,1,4,Did Not Vote,0,7,7,7,7,7,7,7,7,7,7,7
EN,USA,Male,25-30,0,4,Did Not Vote,0,5.9,6,5.1,5.9,NA,NA,NA,NA,NA,NA,5.9
EN,NA,Female,25-30,0,3,Clinton,0,7,5.5,7,6.3,NA,NA,NA,NA,NA,NA,6.5
EN,Mexico,Female,18-24,1,3,Did Not Vote,0,7,6,7,7,NA,5.7,7,NA,2.3,2.1,7
EN,USA,Male,31-40,0,5,Clinton,0,1,1,1,1,NA,NA,NA,NA,NA,NA,4.1
EN,USA,Female,18-24,1,3,Did Not Vote,0,6,6.1,7,7,1,1,1,1,1,1,1.9
EN,USA,Female,18-24,1,3,Clinton,1,5.1,6,7,6,6.1,6.9,6.2,5.1,6.2,5.2,7
EN,Mexico,Female,18-24,1,3,Clinton,0,6.3,6.1,6.6,6.4,3.3,5,5.8,5.7,2.6,2.5,6.2
EN,NA,Female,41-50,1,5,Clinton,1,1,2.4,1.9,1.9,1.6,1.7,5.8,5.3,5.8,NA,5.7
EN,USA,Female,25-30,0,4,Did Not Vote,0,4,4,4,4,NA,NA,NA,NA,NA,NA,6
EN,Cuba,Female,41-50,1,5,Did Not Vote,0,1,5.7,5.9,6.4,NA,NA,NA,NA,NA,NA,NA
EN,USA,Male,25-30,0,4,Did Not Vote,1,1,2.5,3.5,5,NA,NA,NA,NA,NA,NA,3.9
EN,Honduras,Female,25-30,1,2,Trump,0,2,5,7,4.6,4.7,5.1,5.6,5.1,3.7,4.6,3.7
EN,USA,Female,18-24,0,3,Clinton,0,4.1,6,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,61+,0,5,Clinton,0,1,1,7,7,NA,NA,NA,NA,NA,NA,6
EN,Puerto Rico,Female,41-50,1,4,Clinton,1,7,7,7,7,6.9,7,6.9,6.9,6.8,6.9,6.9
EN,NA,Female,18-24,0,2,Clinton,0,6.5,7,6.8,7,NA,NA,NA,NA,NA,NA,7
EN,Cuba,Female,41-50,1,5,Clinton,0,1,1,1,NA,1,7,7,7,2.2,6.6,7
EN,USA,Female,41-50,0,1,Clinton,0,1.8,5.8,5.7,5.8,NA,NA,NA,NA,NA,NA,5.7
EN,USA,Female,41-50,0,5,Clinton,0,1,1,6.1,6.2,NA,NA,NA,NA,NA,NA,6
EN,USA,Male,31-40,1,5,Trump,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,USA,Female,31-40,0,5,Did Not Vote,1,1.3,1.5,2.9,1.5,NA,NA,NA,NA,NA,NA,3.1
EN,NA,Female,31-40,0,4,Did Not Vote,1,1,1.1,3.2,1,NA,NA,NA,NA,NA,NA,2.1
EN,Puerto Rico,Female,18-24,0,3,Did Not Vote,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2.5
ES,Mexico,Female,51-60,1,3,Did Not Vote,0,1,7,7,3.8,1,7,7,1,7,7,7
